2019-07-09-112544, 0 
2019-07-09-112545, 0 
2019-07-09-113009, 0 
2019-07-09-113011, 0 
2019-07-09-113052, 0 
2019-07-09-113053, 0 
2019-07-09-113904, 0 
2019-07-09-113906, 0 
2019-07-09-114437, 0 
2019-07-09-114438, 0 
2019-07-09-114536, 0 
2019-07-09-114538, 0 
2019-07-09-114705, 0 
2019-07-09-114707, 0 
2019-07-09-114830, 0 
2019-07-09-114832, 0 
2019-07-09-115134, 0 
2019-07-09-115136, 0 
2019-07-09-115358, 0 
2019-07-09-115359, 0 
2019-07-09-115603, 0 
2019-07-09-115604, 0 
2019-07-09-115741, 0 
2019-07-09-115743, 0 
2019-07-09-120010, 1 
2019-07-09-120012, 1 
2019-07-09-120844, 0 
2019-07-09-120845, 0 
2019-07-19-132323, 0 
2019-07-19-132325, 0 
